Cellularity;Growth_pattern_1;Growth_pattern_2;Proliferation;class
0.14299;0.21789;0.07979;0.16459;3
0.09326;0.26341;0;0.00828;3
0.09507;0.22602;0;0.00304;3
0.34179;0.14797;0.06177;0.09005;3
0.05196;0.26992;0.05749;0.20347;3
0.18463;0.37724;0.19992;0.10395;3
0.04716;0.12033;0;0.0373;3
0.1868;0.25203;0.27911;0.39039;3
0.16481;0.29919;0.21115;0.33631;3
0.06533;0.13171;0;0.02626;3
0.19355;0.3122;0;0.00572;3
0.10287;0.14634;0;0.00648;3
0.11106;0.28293;0.0058;0.10766;3
0.01424;0.15772;0;0.09843;3
0.20596;0.13659;0.01905;0.04938;3
0.13571;0.42764;0.40762;0.03666;3
0.1722;0.14472;0.07964;0.0874;3
0.14764;0.08293;0.08626;0.06186;3
0.36121;0.18862;0.15611;0.19557;3
0.12851;0.13008;0.05103;0.00754;3
0.28524;0.23089;0;0.05941;3
0.15465;0.2813;0.03956;0.00546;3
0.25963;0.19837;0.06612;0.10901;3
0.06209;0.13821;0.04287;0.01093;3
0.01176;0.05854;0;0.03096;3
0.27369;0.29919;0.10695;0.19252;3
0.303;0.16423;0;0.24382;3
0.17735;0.23415;0.11525;0.02739;3
0.30993;0.2;0.02633;0.03177;3
0.04379;0.25854;0;0.00598;3
0.17259;0.18374;0;0.01441;3
0.02191;0.17236;0.02737;0.00679;3
0.18811;0.33333;0.07411;0.02035;3
0.37558;0.20976;0.06286;0.18045;3
0.17044;0.4878;0.02168;0.05136;3
0.06907;0.0748;0.03618;0.08867;3
0.03662;0.14472;0.01181;0.00993;3
0.15246;0.08943;0.00635;0.02149;3
0.19628;0.17561;0.23644;0.0452;3
0.12988;0.05041;0;0.03174;3
0.26164;0.07805;0;0.19875;3
0.12119;0.15772;0.04877;0.02734;3
0.14809;0.09268;0;0.0384;3
0.10387;0.11545;0;0.0108;3
0.41345;0.32033;0;0.00223;1
0.33398;0.16098;0.01451;0.0137;1
0.18048;0.58862;0;0.00367;1
0.13214;0.26829;0;0.00193;1
0.18165;0.2065;0;0.02163;1
0.14258;0.29919;0;0.00475;1
0.20059;0.23252;0;0.01468;1
0.09433;0.28618;0.01826;0.02295;1
0.37019;0.20813;0;0.02073;1
0.47695;0.37724;0.00124;0.00822;1
0.47011;0.43415;0.01046;0.04391;1
0.28499;0.35935;0;0.00704;1
0.46405;0.21463;0;0.01207;1
0.36368;0.44715;0;0.00909;1
0.22807;0.19187;0;0.085;1
0.3484;0.27642;0;0.00697;1
0.22443;0.25366;0;0.00347;1
0.60879;0.66667;0;0.00599;1
0.1459;0.29756;0.00134;0.00507;1
0.23793;0.35447;0;0.00108;1
0.14949;0.18862;0;0.00584;1
0.3114;0.2878;0.01136;0.00699;1
0.06591;0.11545;0;0.00218;1
0.12481;0.02276;0.03695;0.02108;1
0.10082;0.08455;0;0.04625;1
0.07548;0.13496;0.01052;0.01581;1
0.23685;0.27967;0;0.00391;1
0.49537;0.22439;0;0.00794;1
0.44856;0.55285;0.01748;0.01821;1
0.07866;0.2374;0;0.00753;1
0.3292;0.33171;0;0.00385;1
0.24432;0.4065;0.01397;0.01371;1
0.149;0.29268;0;0.01097;1
0.3962;0.33171;0;0.0252;1
0.33394;0.67642;0;0.00557;1
0.28518;0.33659;0;0.00575;1
0.39834;0.3187;0;0.01238;1
0.3667;1;0;0.0011;1
0.27062;0.53821;0;0.00342;1
0.22953;0.2065;0.03403;0.01782;1
0.13104;0.06016;0;0.02705;1
0.40784;0.15285;0.04568;0.03256;1
0.07838;0.15285;0.01268;0.01724;1
0.23878;0.22602;0;0.01554;1
0.23509;0.39675;0.00098;0.0087;1
0.07787;0.13496;0.01592;0.01333;1
0.26039;0.26667;0;0.02197;1
0.07742;0.21626;0;0.00203;1
0.20783;0.25041;0;0.00763;1
0.29068;0.55772;0;0.02692;1
0.37547;0.46992;0;0.00041;1
0.3139;0.26992;0;0.01082;1
0.3243;0.3252;0.00533;0.00136;1
0.05309;0.06016;0.00114;0.0305;1
0.60526;0.91545;0.00663;0.0076;1
0.38431;0.36423;0;0.00826;1
0.14473;0.12195;0.00423;0.03696;1
0.06054;0.18862;0;0.00867;1
0.14444;0.34146;0.0064;0.00331;1
0.31943;0.44553;0;0.01412;1
0.11841;0.17561;0;0.00423;1
0.33491;0.28455;0;0.01998;1
0.30227;0.2878;0;0.01184;1
0.33261;0.24228;0;0.02212;1
0.39271;0.2065;0;0.05542;1
0.21724;0.12358;0;0.01337;1
0.21922;0.3252;0.00216;0.00851;1
0.18574;0.3187;0.01864;0.03009;1
0.28942;0.23415;0;0.00371;1
0.23505;0.1626;0;0.0145;1
0.30215;0.41626;0;0.01274;1
0.24989;0.20976;0;0.00809;1
0.11289;0.02439;0;0.01772;1
0.44329;0.1252;0.01747;0.04466;1
0.20935;0.64553;0;0.00443;1
0.2997;0.16423;0.00964;0.03596;1
0.24506;0.26504;0;0.01197;1
0.61678;0.3626;0;0.00459;1
0.01451;0.20163;0.00022;0.01177;1
0.11936;0.17073;0;0.01077;1
0.39217;0.41463;0;0.02095;1
0.36135;0.12846;0.00779;0.00945;1
0.22543;0.20163;0;0.00736;1
0.27927;0.20325;0;0.00898;1
0.42775;0.47967;0.02504;0.01223;1
0.0753;0.1626;0.00523;0.00194;1
0.45056;0.36423;0;0.00916;1
0.22407;0.52358;0;0.00317;1
0.33468;0.39024;0;0.00984;1
0.14693;0.23089;0;0.00429;1
0.22533;0.13821;0;0.01075;1
0.12545;0.17236;0;0.01213;1
0.17108;0.24228;0;0.00392;1
0.02285;0.17236;0.00264;0.00064;1
0.23716;0.35447;0;0.00972;1
0.137;0.22276;0;0.0059;1
0.20368;0.21951;0;0.01487;1
0.07482;0.13333;0.03841;0.02185;1
0.37652;0.27317;0;0.00454;1
0.05217;0.13008;0.00526;0.00781;1
0.1247;0.14309;0;0.02439;1
0.57909;0.70732;0.02039;0.00233;1
0.3067;0.32195;0;0.00554;1
0.55137;0.48293;0;0.00125;1
0.60825;0.2374;0;0.00979;1
0.08773;0.1252;0.0168;0.01869;1
0.12026;0.12846;0;0.02916;1
0.31394;0.48943;0.00191;0.01484;1
0.27183;0.25041;0.01524;0.01685;1
0.4423;0.33496;0;0.01463;1
0.06948;0.08618;0;0.01475;2
0.26721;0.23252;0.00911;0.02285;2
0.13613;0.21463;0.01295;0.01103;2
0.18069;0.33171;0.06883;0.0202;2
0.08854;0.09431;0;0.01943;2
0.17793;0.35447;0.02135;0.0164;2
0.17648;0.07317;0.01989;0.03872;2
0.23244;0.12846;0.03676;0.03413;2
0.23315;0.39837;0;0.0041;2
0.29676;0.21951;0;0.06556;2
0.30878;0.11382;0.00527;0.08175;2
0.04372;0.13008;0;0.04271;2
0.21804;0.24553;0;0.00423;2
0.24826;0.3626;0.02657;0.04596;2
0.2793;0.13496;0.01921;0.06993;2
0.22223;0.18537;0;0.04413;2
0.23282;0.32033;0;0.01318;2
0.39113;0.24228;0;0.08404;2
0.08563;0.17398;0.00794;0.04068;2
0.0747;0.09593;0;0.03166;2
0.18304;0.29431;0.01417;0.00682;2
0.21056;0.1561;0.04752;0.01506;2
0.49051;0.17561;0;0.04529;2
0.22452;0.19837;0.05609;0.02323;2
0.13934;0.18049;0.00204;0.02319;2
0.15184;0.34797;0;0.01759;2
0.25177;0.31382;0.01046;0.00236;2
0.2097;0.18699;0.00541;0.00947;2
0.54371;0.20813;0.02712;0.04624;2
0.48718;0.28943;0;0.01964;2
0.13763;0.24878;0.00473;0.00573;2
0.17949;0.30407;0.01795;0.01592;2
0.03913;0.05203;0.01058;0.02682;2
0.30045;0.46504;0;0.00173;3
0.16724;0.11707;0.02121;0.03322;3
0.10236;0.31707;0;0.00765;3
0.19584;0.09593;0;0.03172;3
0.6;0.15772;0.05406;0.05927;3
0.25004;0.22927;0.02082;0.00642;3
0.16554;0.40813;0;0.00163;3
0.08115;0.14472;0.00131;0.00581;3
0.02317;0.15772;0;0.01021;3
0.11239;0.1626;0.02597;0.04579;3
0.08842;0.05854;0.01764;0.01601;3
0.11304;0.12683;0;0.16514;3
0.16616;0.36585;0;0.00241;3
0.10054;0.0748;0.00443;0.03411;3
0.14399;0.04228;0;0.0385;3
0.14996;0.23415;0;0.01474;3
0.15659;0.18211;0.0195;0.05739;3
0.40006;0.31382;0.00839;0.00637;3
0.112;0.14146;0.03864;0.02056;3
0.13144;0.18862;0;0.00833;3
0.14142;0.15122;0.03857;0.05859;3
0.04045;0.07967;0.04345;0.02969;3
0.14322;0.22764;0.08157;0.09881;3
0.15636;0.10732;0.01769;0.01812;3
0.04808;0.30894;0;0.01035;3
0.24884;0.29268;0;0.00854;3
0.18113;0.19187;0.01568;0.00127;3
0.11114;0.21951;0.00642;0.00224;3
0.14983;0.14797;0.02219;0.00955;3
0.07141;0.07317;0.01413;0.01496;3
0.04624;0.10894;0;0.00647;3
0.10251;0.14634;0.06346;0.05804;3
0.40044;0.42439;0;0.00809;3
0.27837;0.25691;0;0.04675;3
0.54848;0.3122;0;0.01428;3
0.06896;0.21789;0;0.01194;3
0.368;0.44228;1;0.08295;3
0.15254;0.13008;0.08554;0.08623;3
0.26724;0.37236;0;0.00565;3
0.10489;0.0374;0.0104;0.0404;3
0.08517;0.14634;0.04348;0.01892;3
0.12291;0.30732;0.05384;0.00614;3
0.21813;0.47642;0.49672;0.03199;3
0.12452;0.34146;0.04883;0.02275;3
0.26268;0.05203;0;0.13436;3
0.09767;0.33333;0.00409;0.01274;3
0.33235;0.13008;0;0.10307;3
0.34011;0.20813;0;0.55029;3
0.21116;0.2813;0.27268;0.63696;3
0.13221;0.14146;0.01033;0.04095;3
0.30983;0.23252;0.19606;0.05322;3
0.71899;0.16423;0.01055;0.10348;3
0.03713;0.0813;0.01041;0.02524;3
0.16161;0.23252;0.03129;0.01457;3
0.11216;0.13659;0;0.09549;3
0.07101;0.15935;0;0.02287;3
0.18854;0.10244;0.01315;0.04316;3
0.20796;0.55122;0.00413;0;3
0.54839;0.1626;0.0165;0.0727;3
0.31877;0.1252;0.09575;0.03672;3
0.06243;0.12358;0.02408;0.02283;3
0.06295;0.26667;0;0.00501;3
0.16044;0.08943;0.01118;0.0378;3
0.02782;0.1187;0.05797;0.05387;3
